"Date","Period","Capacity"
37809,33,0.063213486
37809,34,0.032350152
37809,35,0.001486818
37809,36,0.000743409
37809,37,0
37809,38,0
37809,39,0
37809,40,0
37809,41,0
37809,42,0
37809,43,0
37809,44,0
37809,45,0
37809,46,0
37809,47,0
37809,48,0
37810,1,0
37810,2,0
37810,3,0
37810,4,0
37810,5,0
37810,6,0
37810,7,0
37810,8,0
37810,9,0
37810,10,0
37810,11,0
37810,12,0
37810,13,0
37810,14,0
37810,15,0
37810,16,0.0188128045
37810,17,0.037625609
37810,18,0.1274319055
37810,19,0.217238202
37810,20,0.277340995
37810,21,0.337443788
37810,22,0.3482534335
37810,23,0.359063079
37810,24,0.3551783985
37810,25,0.351293718
37810,26,0.3125973345
37810,27,0.273900951
37810,28,0.2221138185
37810,29,0.170326686
37810,30,0.1468139815
37810,31,0.123301277
37810,32,0.0730662645
37810,33,0.022831252
37810,34,0.011415626
37810,35,0
37810,36,0
37810,37,0
37810,38,0
37810,39,0
37810,40,0
37810,41,0
37810,42,0
37810,43,0
37810,44,0
37810,45,0
37810,46,0
37810,47,0
37810,48,0
37811,1,0
37811,2,0
37811,3,0
37811,4,0
37811,5,0
37811,6,0
37811,7,0
37811,8,0
37811,9,0
37811,10,0
37811,11,0
37811,12,0
37811,13,0
37811,14,0
37811,15,0
37811,16,0.012718028
37811,17,0.025436056
37811,18,0.1229313095
37811,19,0.220426563
37811,20,0.306855449
37811,21,0.393284335
37811,22,0.434706702
37811,23,0.476129069
37811,24,0.479488108
37811,25,0.482847147
37811,26,0.445039309
37811,27,0.407231471
37811,28,0.350233604
37811,29,0.293235737
37811,30,0.2640352585
37811,31,0.23483478
37811,32,0.1544292395
37811,33,0.074023699
37811,34,0.0374569045
37811,35,0.00089011
37811,36,0.000445055
37811,37,0
37811,38,0
37811,39,0
37811,40,0
37811,41,0
37811,42,0
37811,43,0
37811,44,0
37811,45,0
37811,46,0
37811,47,0
37811,48,0
37812,1,0
37812,2,0
37812,3,0
37812,4,0
37812,5,0
37812,6,0
37812,7,0
37812,8,0
37812,9,0
37812,10,0
37812,11,0
37812,12,0
37812,13,0
37812,14,0
37812,15,0
37812,16,0.027273464
37812,17,0.054546928
37812,18,0.1476350655
37812,19,0.240723203
37812,20,0.3056536575
37812,21,0.370584112
37812,22,0.400781115
37812,23,0.430978118
37812,24,0.4126800365
37812,25,0.394381955
37812,26,0.3765351525
37812,27,0.35868835
37812,28,0.3415536635
37812,29,0.324418977
37812,30,0.2827840525
37812,31,0.241149128
37812,32,0.1644119365
37812,33,0.087674745
37812,34,0.044280403
37812,35,0.000886061
37812,36,0.0004430305
37812,37,0
37812,38,0
37812,39,0
37812,40,0
37812,41,0
37812,42,0
37812,43,0
37812,44,0
37812,45,0
37812,46,0
37812,47,0
37812,48,0
37813,1,0
37813,2,0
37813,3,0
37813,4,0
37813,5,0
37813,6,0
37813,7,0
37813,8,0
37813,9,0
37813,10,0
37813,11,0
37813,12,0
37813,13,0
37813,14,0
37813,15,0
37813,16,0.01972719
37813,17,0.03945438
37813,18,0.060141821
37813,19,0.080829262
37813,20,0.1609938935
37813,21,0.241158525
37813,22,0.3041259825
37813,23,0.36709344
37813,24,0.3515118645
37813,25,0.335930289
37813,26,0.315109546
37813,27,0.294288803
37813,28,0.2874944995
37813,29,0.280700196
37813,30,0.2243135125
37813,31,0.167926829
37813,32,0.1126676555
37813,33,0.057408482
37813,34,0.028704241
37813,35,0
37813,36,0
37813,37,0
37813,38,0
37813,39,0
37813,40,0
37813,41,0
37813,42,0
37813,43,0
37813,44,0
37813,45,0
37813,46,0
37813,47,0
37813,48,0
37814,1,0
37814,2,0
37814,3,0
37814,4,0
37814,5,0
37814,6,0
37814,7,0
37814,8,0
37814,9,0
37814,10,0
37814,11,0
37814,12,0
37814,13,0
37814,14,0
37814,15,0
37814,16,0.025313893
37814,17,0.050627786
37814,18,0.1318280765
37814,19,0.213028367
37814,20,0.2775943795
37814,21,0.342160392
37814,22,0.310052478
37814,23,0.277944564
37814,24,0.243257715
37814,25,0.208570866
37814,26,0.2200923605
37814,27,0.231613855
37814,28,0.23499193
37814,29,0.238370005
37814,30,0.2376813805
37814,31,0.236992756
37814,32,0.1652694565
37814,33,0.093546157
37814,34,0.0474582805
37814,35,0.001370404
37814,36,0.000685202
37814,37,0
37814,38,0
37814,39,0
37814,40,0
37814,41,0
37814,42,0
37814,43,0
37814,44,0
37814,45,0
37814,46,0
37814,47,0
37814,48,0
37815,1,0
37815,2,0
37815,3,0
37815,4,0
37815,5,0
37815,6,0
37815,7,0
37815,8,0
37815,9,0
37815,10,0
37815,11,0
37815,12,0
37815,13,0
37815,14,0
37815,15,0
37815,16,0.031796951
37815,17,0.063593902
37815,18,0.179773356
37815,19,0.29595281
37815,20,0.371470389
37815,21,0.446987968
37815,22,0.4731143835
37815,23,0.499240799
37815,24,0.5012637395
37815,25,0.50328668
37815,26,0.4236523405
37815,27,0.344018001
37815,28,0.3121374685
37815,29,0.280256936
37815,30,0.258910065
37815,31,0.237563194
37815,32,0.169098487
37815,33,0.10063378
37815,34,0.0519167425
37815,35,0.003199705
37815,36,0.0015998525
37815,37,0
37815,38,0
37815,39,0
37815,40,0
37815,41,0
37815,42,0
37815,43,0
37815,44,0
37815,45,0
37815,46,0
37815,47,0
37815,48,0
37816,1,0
37816,2,0
37816,3,0
37816,4,0
37816,5,0
37816,6,0
37816,7,0
37816,8,0
37816,9,0
37816,10,0
37816,11,0
37816,12,0
37816,13,0
37816,14,0
37816,15,0
37816,16,0.032000355
37816,17,0.06400071
37816,18,0.1566086495
37816,19,0.249216589
37816,20,0.324388114
37816,21,0.399559639
37816,22,0.43625714
37816,23,0.472954641
37816,24,0.474967456
37816,25,0.476980271
37816,26,0.467461685
37816,27,0.457943099
37816,28,0.41089274
37816,29,0.363842381
37816,30,0.302947682
37816,31,0.242052983
37816,32,0.1714555735
37816,33,0.100858164
37816,34,0.0522953425
37816,35,0.003732521
37816,36,0.0018662605
37816,37,0
37816,38,0
37816,39,0
37816,40,0
37816,41,0
37816,42,0
37816,43,0
37816,44,0
37816,45,0
37816,46,0
37816,47,0
37816,48,0
37817,1,0
37817,2,0
37817,3,0
37817,4,0
37817,5,0
37817,6,0
37817,7,0
37817,8,0
37817,9,0
37817,10,0
37817,11,0
37817,12,0
37817,13,0
37817,14,0
37817,15,0
37817,16,0.0324078105
37817,17,0.064815621
37817,18,0.152753454
37817,19,0.240691287
37817,20,0.301426406
37817,21,0.362161525
37817,22,0.366953868
37817,23,0.371746211
37817,24,0.376751598
37817,25,0.381756985
37817,26,0.3618787365
37817,27,0.342000488
37817,28,0.3041766915
37817,29,0.266352895
37817,30,0.223086366
37817,31,0.179819837
37817,32,0.11973267
37817,33,0.059645503
37817,34,0.0298227515
37817,35,0
37817,36,0
37817,37,0
37817,38,0
37817,39,0
37817,40,0
37817,41,0
37817,42,0
37817,43,0
37817,44,0
37817,45,0
37817,46,0
37817,47,0
37817,48,0
37818,1,0
37818,2,0
37818,3,0
37818,4,0
37818,5,0
37818,6,0
37818,7,0
37818,8,0
37818,9,0
37818,10,0
37818,11,0
37818,12,0
37818,13,0
37818,14,0
37818,15,0
37818,16,0.0288913825
37818,17,0.057782765
37818,18,0.177257503
37818,19,0.296732241
37818,20,0.353729136
37818,21,0.410726031
37818,22,0.423843188
37818,23,0.436960345
37818,24,0.4203010775
37818,25,0.40364181
37818,26,0.421557872
37818,27,0.439473934
37818,28,0.4127750555
37818,29,0.386076177
37818,30,0.3174674425
37818,31,0.248858708
37818,32,0.175004083
37818,33,0.101149458
37818,34,0.052512914
37818,35,0.00387637
37818,36,0.001938185
37818,37,0
37818,38,0
37818,39,0
37818,40,0
37818,41,0
37818,42,0
37818,43,0
37818,44,0
37818,45,0
37818,46,0
37818,47,0
37818,48,0
37819,1,0
37819,2,0
37819,3,0
37819,4,0
37819,5,0
37819,6,0
37819,7,0
37819,8,0
37819,9,0
37819,10,0
37819,11,0
37819,12,0
37819,13,0
37819,14,0
37819,15,0
37819,16,0.0118224835
37819,17,0.023644967
37819,18,0.1213773555
37819,19,0.219109744
37819,20,0.2960128345
37819,21,0.372915925
37819,22,0.4067191135
37819,23,0.440522302
37819,24,0.4227982225
37819,25,0.405074143
37819,26,0.3499246505
37819,27,0.294775158
37819,28,0.302756591
37819,29,0.310738024
37819,30,0.286648806
37819,31,0.262559588
37819,32,0.187052459
37819,33,0.11154533
37819,34,0.0580997795
37819,35,0.004654229
37819,36,0.0023271145
37819,37,0
37819,38,0
37819,39,0
37819,40,0
37819,41,0
37819,42,0
37819,43,0
37819,44,0
37819,45,0
37819,46,0
37819,47,0
37819,48,0
37820,1,0
37820,2,0
37820,3,0
37820,4,0
37820,5,0
37820,6,0
37820,7,0
37820,8,0
37820,9,0
37820,10,0
37820,11,0
37820,12,0
37820,13,0
37820,14,0
37820,15,0
37820,16,0.027356737
37820,17,0.054713474
37820,18,0.1102384095
37820,19,0.165763345
37820,20,0.2152235245
37820,21,0.264683704
37820,22,0.31837875
37820,23,0.372073796
37820,24,0.3539254925
37820,25,0.335777189
37820,26,0.2994055715
37820,27,0.263033954
37820,28,0.2561121485
37820,29,0.249190343
37820,30,0.2244289445
37820,31,0.199667546
37820,32,0.1406338585
37820,33,0.081600171
37820,34,0.0414744905
37820,35,0.00134881
37820,36,0.000674405
37820,37,0
37820,38,0
37820,39,0
37820,40,0
37820,41,0
37820,42,0
37820,43,0
37820,44,0
37820,45,0
37820,46,0
37820,47,0
37820,48,0
37821,1,0
37821,2,0
37821,3,0
37821,4,0
37821,5,0
37821,6,0
37821,7,0
37821,8,0
37821,9,0
37821,10,0
37821,11,0
37821,12,0
37821,13,0
37821,14,0
37821,15,0
37821,16,0.0178964745
37821,17,0.035792949
37821,18,0.105266154
37821,19,0.174739359
37821,20,0.194613395
37821,21,0.214487431
37821,22,0.2296544225
37821,23,0.244821414
37821,24,0.2713753745
37821,25,0.297929335
37821,26,0.313996455
37821,27,0.330063575
37821,28,0.3261094725
37821,29,0.32215537
37821,30,0.2832924405
37821,31,0.244429511
37821,32,0.176377314
37821,33,0.108325117
37821,34,0.056572096
37821,35,0.004819075
37821,36,0.0024095375
37821,37,0
37821,38,0
37821,39,0
37821,40,0
37821,41,0
37821,42,0
37821,43,0
37821,44,0
37821,45,0
37821,46,0
37821,47,0
37821,48,0
37822,1,0
37822,2,0
37822,3,0
37822,4,0
37822,5,0
37822,6,0
37822,7,0
37822,8,0
37822,9,0
37822,10,0
37822,11,0
37822,12,0
37822,13,0
37822,14,0
37822,15,0
37822,16,0.014449073
37822,17,0.028898146
37822,18,0.0967760225
37822,19,0.164653899
37822,20,0.226107533
37822,21,0.287561167
37822,22,0.3265217075
37822,23,0.365482248
37822,24,0.349434326
37822,25,0.333386404
37822,26,0.343439381
37822,27,0.353492358
37822,28,0.336980439
37822,29,0.32046852
37822,30,0.27816101
37822,31,0.2358535
37822,32,0.1709065125
37822,33,0.105959525
37822,34,0.05552986
37822,35,0.005100195
37822,36,0.0025500975
37822,37,0
37822,38,0
37822,39,0
37822,40,0
37822,41,0
37822,42,0
37822,43,0
37822,44,0
37822,45,0
37822,46,0
37822,47,0
37822,48,0
37823,1,0
37823,2,0
37823,3,0
37823,4,0
37823,5,0
37823,6,0
37823,7,0
37823,8,0
37823,9,0
37823,10,0
37823,11,0
37823,12,0
37823,13,0
37823,14,0
37823,15,0
37823,16,0.008143298
37823,17,0.016286596
37823,18,0.104152334
37823,19,0.192018072
37823,20,0.2507832275
