"Date","Period","Temp"
36526,1,12.8
36526,2,12.55
36526,3,12.3
36526,4,12
36526,5,11.7
36526,6,11.55
36526,7,11.4
36526,8,11.35
36526,9,11.3
36526,10,11.25
36526,11,11.2
36526,12,12.3
36526,13,13.4
36526,14,13.9
36526,15,14.4
36526,16,15.05
36526,17,15.7
36526,18,16.1
36526,19,16.5
36526,20,17.1
36526,21,17.7
36526,22,17.85
36526,23,18
36526,24,17.85
36526,25,17.7
36526,26,17.7
36526,27,17.7
36526,28,18.2
36526,29,18.7
36526,30,18.75
36526,31,18.8
36526,32,18.95
36526,33,19.1
36526,34,18.75
36526,35,18.4
36526,36,18
36526,37,17.6
36526,38,16.9
36526,39,16.2
36526,40,15.65
36526,41,15.1
36526,42,14.8
36526,43,14.5
36526,44,14.25
36526,45,14
36526,46,14.1
36526,47,14.2
36526,48,13.8
36527,1,13.4
36527,2,13.05
36527,3,12.7
36527,4,12.3
36527,5,11.9
36527,6,11.8
36527,7,11.7
36527,8,11.7
36527,9,11.7
36527,10,11.7
36527,11,11.7
36527,12,12.75
36527,13,13.8
36527,14,14.6
36527,15,15.4
36527,16,16
36527,17,16.6
36527,18,16.85
36527,19,17.1
36527,20,18
36527,21,18.9
36527,22,19.65
36527,23,20.4
36527,24,19.4
36527,25,18.4
36527,26,18.15
36527,27,17.9
36527,28,18.1
36527,29,18.3
36527,30,18.6
36527,31,18.9
36527,32,19.2
36527,33,19.5
36527,34,19.65
36527,35,19.8
36527,36,20.3
36527,37,20.8
36527,38,21.15
36527,39,21.5
36527,40,20.65
36527,41,19.8
36527,42,19.15
36527,43,18.5
36527,44,17.8
36527,45,17.1
36527,46,16.6
36527,47,16.1
36527,48,15.8
36528,1,15.5
36528,2,15.35
36528,3,15.2
36528,4,15.25
36528,5,15.3
36528,6,15.1
36528,7,14.9
36528,8,14.7
36528,9,14.5
36528,10,14.75
36528,11,15
36528,12,16.25
36528,13,17.5
36528,14,18.7
36528,15,19.9
36528,16,21.35
36528,17,22.8
36528,18,23
36528,19,23.2
36528,20,23.45
36528,21,23.7
36528,22,23.8
36528,23,23.9
36528,24,24.15
36528,25,24.4
36528,26,23.4
36528,27,22.4
36528,28,21.25
36528,29,20.1
36528,30,20.05
36528,31,20
