"Date","Period","Temp"
36528,32,21.3
36528,33,22.6
36528,34,21
36528,35,19.4
36528,36,18.7
36528,37,18
36528,38,17.2
36528,39,16.4
36528,40,16.15
36528,41,15.9
36528,42,15.85
36528,43,15.8
36528,44,15.75
36528,45,15.7
36528,46,15.5
36528,47,15.3
36528,48,15
36529,1,14.7
36529,2,14.6
36529,3,14.5
36529,4,14.5
36529,5,14.5
36529,6,13.9
36529,7,13.3
36529,8,13.65
36529,9,14
36529,10,14.35
36529,11,14.7
36529,12,14.3
36529,13,13.9
36529,14,13.85
36529,15,13.8
36529,16,13.7
36529,17,13.6
36529,18,13.95
36529,19,14.3
36529,20,15
36529,21,15.7
36529,22,15.75
36529,23,15.8
36529,24,15.45
36529,25,15.1
36529,26,15.15
36529,27,15.2
36529,28,15.25
36529,29,15.3
36529,30,15.25
36529,31,15.2
36529,32,14.8
36529,33,14.4
36529,34,13.55
36529,35,12.7
36529,36,13.05
36529,37,13.4
36529,38,13.15
36529,39,12.9
36529,40,13.4
36529,41,13.9
36529,42,13.85
36529,43,13.8
36529,44,13.7
36529,45,13.6
36529,46,13.5
36529,47,13.4
36529,48,13.35
36530,1,13.3
36530,2,13.25
36530,3,13.2
36530,4,13.2
36530,5,13.2
36530,6,13.15
36530,7,13.1
36530,8,13.1
36530,9,13.1
36530,10,13.2
36530,11,13.3
36530,12,13.5
36530,13,13.7
36530,14,13.95
36530,15,14.2
36530,16,14.25
36530,17,14.3
36530,18,14.4
36530,19,14.5
36530,20,15.05
36530,21,15.6
36530,22,15.45
36530,23,15.3
36530,24,15.6
36530,25,15.9
36530,26,15.75
36530,27,15.6
36530,28,16.05
36530,29,16.5
36530,30,16.85
36530,31,17.2
36530,32,17
36530,33,16.8
36530,34,16.55
36530,35,16.3
36530,36,16.25
36530,37,16.2
36530,38,15.7
36530,39,15.2
36530,40,14.75
36530,41,14.3
36530,42,14.1
36530,43,13.9
36530,44,13.7
36530,45,13.5
36530,46,13.45
36530,47,13.4
36530,48,13.25
36531,1,13.1
36531,2,12.9
36531,3,12.7
36531,4,12.3
36531,5,11.9
36531,6,12.1
36531,7,12.3
36531,8,12.1
36531,9,11.9
36531,10,12.15
36531,11,12.4
36531,12,13.2
36531,13,14
36531,14,14.65
36531,15,15.3
36531,16,15.4
36531,17,15.5
36531,18,15.65
36531,19,15.8
36531,20,15.75
36531,21,15.7
36531,22,16.05
36531,23,16.4
36531,24,16.45
36531,25,16.5
36531,26,16.55
36531,27,16.6
36531,28,16.5
36531,29,16.4
36531,30,16.55
36531,31,16.7
36531,32,18.1
36531,33,19.5
36531,34,19.2
36531,35,18.9
36531,36,18.5
36531,37,18.1
36531,38,17.3
36531,39,16.5
36531,40,16.1
36531,41,15.7
36531,42,15.4
36531,43,15.1
36531,44,14.85
36531,45,14.6
36531,46,14.6
36531,47,14.6
36531,48,14.5
36532,1,14.4
36532,2,14.3
36532,3,14.2
36532,4,13.85
36532,5,13.5
36532,6,13.15
36532,7,12.8
36532,8,12.4
36532,9,12
36532,10,11.8
36532,11,11.6
36532,12,12.75
36532,13,13.9
36532,14,14.85
36532,15,15.8
36532,16,16.2
36532,17,16.6
36532,18,17.05
36532,19,17.5
36532,20,18.05
36532,21,18.6
36532,22,19.2
36532,23,19.8
36532,24,20.25
36532,25,20.7
36532,26,20.45
36532,27,20.2
36532,28,20.1
36532,29,20
36532,30,20.35
36532,31,20.7
36532,32,20.9
36532,33,21.1
36532,34,21.35
36532,35,21.6
36532,36,21.5
36532,37,21.4
36532,38,20.6
36532,39,19.8
36532,40,19.05
36532,41,18.3
36532,42,17.65
36532,43,17
36532,44,16.55
36532,45,16.1
36532,46,15.8
36532,47,15.5
36532,48,15.4
36533,1,15.3
36533,2,15.1
36533,3,14.9
36533,4,14.75
36533,5,14.6
36533,6,14.55
36533,7,14.5
36533,8,14.3
36533,9,14.1
36533,10,13.95
36533,11,13.8
36533,12,14.2
36533,13,14.6
36533,14,15.25
36533,15,15.9
36533,16,17
36533,17,18.1
36533,18,19.15
36533,19,20.2
36533,20,19.55
36533,21,18.9
36533,22,19.15
36533,23,19.4
36533,24,19.9
36533,25,20.4
36533,26,21.3
36533,27,22.2
36533,28,24.2
36533,29,26.2
36533,30,26.6
36533,31,27
36533,32,26.9
36533,33,26.8
36533,34,26.3
36533,35,25.8
36533,36,24.95
36533,37,24.1
36533,38,23.05
36533,39,22
36533,40,20.95
36533,41,19.9
36533,42,19.25
36533,43,18.6
36533,44,18.15
36533,45,17.7
36533,46,17.35
36533,47,17
36533,48,16.7
36534,1,16.4
36534,2,16.15
36534,3,15.9
36534,4,15.65
36534,5,15.4
36534,6,15.15
36534,7,14.9
36534,8,14.9
36534,9,14.9
36534,10,14.9
36534,11,14.9
36534,12,16.45
36534,13,18
36534,14,19.35
36534,15,20.7
36534,16,21.45
36534,17,22.2
36534,18,22.5
36534,19,22.8
36534,20,22.75
36534,21,22.7
36534,22,22.55
36534,23,22.4
36534,24,23.9
36534,25,25.4
36534,26,27.55
36534,27,29.7
36534,28,29.4
36534,29,29.1
36534,30,26.9
36534,31,24.7
36534,32,23.85
36534,33,23
36534,34,23.95
36534,35,24.9
36534,36,24.7
36534,37,24.5
36534,38,23.85
36534,39,23.2
36534,40,22.9
36534,41,22.6
36534,42,22.6
36534,43,22.6
36534,44,22.1
36534,45,21.6
36534,46,21.2
36534,47,20.8
36534,48,20.35
36535,1,19.9
36535,2,19.85
36535,3,19.8
36535,4,19.6
36535,5,19.4
36535,6,19.25
36535,7,19.1
36535,8,19.65
36535,9,20.2
36535,10,20.65
36535,11,21.1
36535,12,21.15
36535,13,21.2
36535,14,21.85
36535,15,22.5
36535,16,23
36535,17,23.5
36535,18,23
36535,19,22.5
36535,20,23
36535,21,23.5
36535,22,23.95
36535,23,24.4
36535,24,25.3
36535,25,26.2
36535,26,26.55
36535,27,26.9
36535,28,27.35
36535,29,27.8
36535,30,28.3
36535,31,28.8
36535,32,29.2
36535,33,29.6
36535,34,29.75
36535,35,29.9
36535,36,30
36535,37,30.1
36535,38,29.1
36535,39,28.1
36535,40,27.05
36535,41,26
36535,42,25.05
36535,43,24.1
36535,44,23.4
36535,45,22.7
36535,46,22.1
36535,47,21.5
36535,48,20.9
36536,1,20.3
36536,2,19.8
36536,3,19.3
36536,4,18.85
36536,5,18.4
36536,6,18.15
36536,7,17.9
36536,8,17.6
36536,9,17.3
36536,10,17.2
36536,11,17.1
36536,12,17.8
36536,13,18.5
36536,14,19.65
36536,15,20.8
36536,16,21.8
36536,17,22.8
36536,18,23.65
36536,19,24.5
36536,20,25.8
36536,21,27.1
36536,22,27.8
36536,23,28.5
36536,24,28.9
36536,25,29.3
36536,26,29.5
36536,27,29.7
36536,28,29.95
36536,29,30.2
36536,30,30.1
36536,31,30
36536,32,30.05
36536,33,30.1
36536,34,29.35
36536,35,28.6
36536,36,27.35
36536,37,26.1
36536,38,24.75
36536,39,23.4
36536,40,22.25
36536,41,21.1
36536,42,20.3
36536,43,19.5
36536,44,18.95
36536,45,18.4
36536,46,17.95
36536,47,17.5
36536,48,17.2
36537,1,16.9
36537,2,16.7
36537,3,16.5
36537,4,16.25
36537,5,16
36537,6,16.1
36537,7,16.2
36537,8,15.9
36537,9,15.6
36537,10,15.5
36537,11,15.4
36537,12,16.7
36537,13,18
36537,14,19.1
36537,15,20.2
36537,16,21.75
36537,17,23.3
36537,18,23.45
36537,19,23.6
36537,20,23.2
36537,21,22.8
36537,22,22.7
36537,23,22.6
36537,24,23.3
36537,25,24
36537,26,26.4
36537,27,28.8
36537,28,26.75
36537,29,24.7
36537,30,25
36537,31,25.3
36537,32,27.8
36537,33,30.3
36537,34,30.15
36537,35,30
36537,36,29.05
36537,37,28.1
36537,38,27.1
36537,39,26.1
36537,40,24.75
36537,41,23.4
36537,42,22.5
36537,43,21.6
36537,44,20.8
36537,45,20
36537,46,19.35
36537,47,18.7
36537,48,18.1
36538,1,17.5
36538,2,17.2
36538,3,16.9
36538,4,16.7
36538,5,16.5
36538,6,16.35
36538,7,16.2
36538,8,16.1
36538,9,16
36538,10,15.8
36538,11,15.6
36538,12,16.85
36538,13,18.1
36538,14,19.35
36538,15,20.6
36538,16,21.3
36538,17,22
36538,18,22.4
36538,19,22.8
36538,20,23.05
36538,21,23.3
36538,22,23.95
36538,23,24.6
36538,24,25.2
36538,25,25.8
36538,26,25.45
36538,27,25.1
36538,28,25.9
36538,29,26.7
36538,30,26.5
36538,31,26.3
36538,32,28.45
36538,33,30.6
36538,34,30.6
36538,35,30.6
36538,36,30
36538,37,29.4
36538,38,28.1
36538,39,26.8
36538,40,25.45
36538,41,24.1
36538,42,23
36538,43,21.9
36538,44,21.05
36538,45,20.2
36538,46,19.65
36538,47,19.1
36538,48,18.6
36539,1,18.1
36539,2,17.7
36539,3,17.3
36539,4,17.25
36539,5,17.2
36539,6,16.85
36539,7,16.5
36539,8,16.25
36539,9,16
36539,10,17.05
36539,11,18.1
36539,12,18.95
36539,13,19.8
36539,14,20.55
36539,15,21.3
36539,16,21.8
36539,17,22.3
36539,18,23
36539,19,23.7
36539,20,23.85
36539,21,24
36539,22,24.45
36539,23,24.9
36539,24,25.35
36539,25,25.8
36539,26,25.85
36539,27,25.9
36539,28,27.35
36539,29,28.8
36539,30,28.45
36539,31,28.1
36539,32,28.45
36539,33,28.8
36539,34,29.85
36539,35,30.9
36539,36,30.15
36539,37,29.4
36539,38,30.35
36539,39,31.3
36539,40,30.35
36539,41,29.4
36539,42,28.15
36539,43,26.9
36539,44,24.45
36539,45,22
36539,46,21.6
36539,47,21.2
36539,48,20.95
36540,1,20.7
36540,2,20.8
36540,3,20.9
36540,4,20.75
36540,5,20.6
36540,6,20.6
36540,7,20.6
36540,8,20.75
36540,9,20.9
36540,10,20.7
36540,11,20.5
36540,12,20.55
36540,13,20.6
36540,14,20.25
36540,15,19.9
36540,16,20.6
36540,17,21.3
36540,18,20.85
36540,19,20.4
36540,20,20.65
36540,21,20.9
36540,22,20.8
36540,23,20.7
36540,24,20.95
36540,25,21.2
36540,26,21.35
36540,27,21.5
36540,28,21.45
36540,29,21.4
36540,30,21.1
36540,31,20.8
36540,32,22.5
36540,33,24.2
36540,34,23.35
36540,35,22.5
36540,36,22.25
36540,37,22
36540,38,21.1
36540,39,20.2
36540,40,20.1
36540,41,20
36540,42,20.1
36540,43,20.2
36540,44,20
36540,45,19.8
36540,46,19.6
36540,47,19.4
36540,48,19.15
36541,1,18.9
36541,2,18.8
36541,3,18.7
36541,4,18.7
36541,5,18.7
36541,6,18.75
36541,7,18.8
36541,8,18.65
36541,9,18.5
36541,10,18.45
36541,11,18.4
36541,12,18.45
36541,13,18.5
36541,14,18.35
36541,15,18.2
36541,16,17.75
36541,17,17.3
36541,18,17.3
36541,19,17.3
36541,20,17.3
36541,21,17.3
36541,22,17.05
36541,23,16.8
36541,24,17.2
36541,25,17.6
36541,26,17.9
36541,27,18.2
36541,28,18.4
36541,29,18.6
36541,30,19
36541,31,19.4
36541,32,19.4
36541,33,19.4
36541,34,19.8
36541,35,20.2
36541,36,19.65
36541,37,19.1
36541,38,18.3
36541,39,17.5
36541,40,16.8
36541,41,16.1
36541,42,15.75
36541,43,15.4
36541,44,15.3
36541,45,15.2
36541,46,15.2
36541,47,15.2
36541,48,14.45
36542,1,13.7
36542,2,13.4
36542,3,13.1
36542,4,13.85
36542,5,14.6
36542,6,14.8
36542,7,15
36542,8,14.9
36542,9,14.8
36542,10,14.9
36542,11,15
36542,12,15.15
36542,13,15.3
36542,14,16.05
36542,15,16.8
36542,16,17.4
36542,17,18
36542,18,18.7
36542,19,19.4
36542,20,19.95
36542,21,20.5
36542,22,19.75
36542,23,19
36542,24,19.05
36542,25,19.1
36542,26,19.75
36542,27,20.4
36542,28,23.5
36542,29,26.6
36542,30,27.25
36542,31,27.9
36542,32,27.8
36542,33,27.7
36542,34,27.75
36542,35,27.8
36542,36,27.7
36542,37,27.6
36542,38,25.85
36542,39,24.1
36542,40,22.4
36542,41,20.7
36542,42,19.75
36542,43,18.8
36542,44,18.35
36542,45,17.9
36542,46,17.65
36542,47,17.4
36542,48,17.1
36543,1,16.8
36543,2,16.65
36543,3,16.5
36543,4,16.3
36543,5,16.1
36543,6,16
36543,7,15.9
36543,8,15.8
36543,9,15.7
36543,10,15.55
36543,11,15.4
36543,12,16.1
36543,13,16.8
36543,14,18.1
36543,15,19.4
36543,16,20.45
36543,17,21.5
36543,18,22.8
36543,19,24.1
36543,20,25.2
36543,21,26.3
36543,22,25.95
36543,23,25.6
36543,24,25.95
36543,25,26.3
36543,26,27.75
36543,27,29.2
36543,28,29.2
36543,29,29.2
36543,30,28.25
36543,31,27.3
36543,32,27.95
36543,33,28.6
36543,34,28.25
36543,35,27.9
36543,36,27.85
36543,37,27.8
36543,38,28.55
36543,39,29.3
36543,40,30.4
36543,41,31.5
36543,42,29.05
36543,43,26.6
36543,44,24.9
36543,45,23.2
36543,46,22.15
36543,47,21.1
36543,48,20.3
36544,1,19.5
36544,2,19.1
36544,3,18.7
36544,4,18.75
36544,5,18.8
36544,6,18.8
36544,7,18.8
36544,8,18.9
36544,9,19
36544,10,18.95
36544,11,18.9
36544,12,19.05
36544,13,19.2
36544,14,19.3
36544,15,19.4
36544,16,19.5
36544,17,19.6
36544,18,19.6
36544,19,19.6
36544,20,19.55
36544,21,19.5
36544,22,19.75
36544,23,20
36544,24,20.1
36544,25,20.2
36544,26,20.25
36544,27,20.3
36544,28,20.25
36544,29,20.2
36544,30,20.2
36544,31,20.2
36544,32,20.5
36544,33,20.8
36544,34,20.8
36544,35,20.8
36544,36,20.9
36544,37,21
36544,38,20.35
36544,39,19.7
36544,40,18.9
36544,41,18.1
36544,42,17.85
36544,43,17.6
36544,44,17.4
36544,45,17.2
36544,46,17.05
36544,47,16.9
36544,48,16.85
36545,1,16.8
36545,2,17.1
36545,3,17.4
36545,4,17.35
36545,5,17.3
36545,6,17.9
36545,7,18.5
36545,8,18.6
36545,9,18.7
36545,10,18.9
36545,11,19.1
36545,12,19.15
36545,13,19.2
36545,14,18.95
36545,15,18.7
36545,16,18.6
36545,17,18.5
36545,18,18.05
36545,19,17.6
36545,20,18.3
36545,21,19
36545,22,19.55
36545,23,20.1
36545,24,20.4
36545,25,20.7
36545,26,21.1
36545,27,21.5
36545,28,21.75
36545,29,22
36545,30,22.1
36545,31,22.2
36545,32,22.35
36545,33,22.5
36545,34,22.4
36545,35,22.3
36545,36,22.1
36545,37,21.9
36545,38,21.4
36545,39,20.9
36545,40,20.1
36545,41,19.3
36545,42,19.1
36545,43,18.9
36545,44,18.45
36545,45,18
36545,46,17.45
36545,47,16.9
36545,48,16.8
36546,1,16.7
36546,2,16.65
36546,3,16.6
36546,4,16.3
36546,5,16
36546,6,15.95
36546,7,15.9
36546,8,15.9
36546,9,15.9
36546,10,15.8
36546,11,15.7
36546,12,15.7
36546,13,15.7
36546,14,15.7
36546,15,15.7
36546,16,15.95
36546,17,16.2
36546,18,16.15
36546,19,16.1
36546,20,16.05
36546,21,16
36546,22,16.2
36546,23,16.4
36546,24,16.25
36546,25,16.1
36546,26,16.05
36546,27,16
36546,28,16
36546,29,16
36546,30,15.85
36546,31,15.7
36546,32,15.9
36546,33,16.1
36546,34,15.95
36546,35,15.8
36546,36,15.8
36546,37,15.8
36546,38,15.6
36546,39,15.4
36546,40,15.1
36546,41,14.8
36546,42,14.75
36546,43,14.7
36546,44,15.1
36546,45,15.5
36546,46,14.6
36546,47,13.7
36546,48,14.05
36547,1,14.4
36547,2,13.6
36547,3,12.8
36547,4,13.3
36547,5,13.8
36547,6,13.2
36547,7,12.6
36547,8,12.35
36547,9,12.1
36547,10,12.15
36547,11,12.2
36547,12,13.05
36547,13,13.9
36547,14,14.15
36547,15,14.4
36547,16,14.45
36547,17,14.5
36547,18,13.4
36547,19,12.3
36547,20,13.6
36547,21,14.9
36547,22,15.35
36547,23,15.8
36547,24,15.7
36547,25,15.6
36547,26,15.15
36547,27,14.7
36547,28,14.9
36547,29,15.1
36547,30,14.95
36547,31,14.8
36547,32,14.95
36547,33,15.1
36547,34,15.2
36547,35,15.3
36547,36,15.1
36547,37,14.9
36547,38,14.2
36547,39,13.5
36547,40,12.6
36547,41,11.7
36547,42,11.75
36547,43,11.8
36547,44,11.35
36547,45,10.9
36547,46,11.05
36547,47,11.2
36547,48,10.85
36548,1,10.5
36548,2,10.8
36548,3,11.1
36548,4,10.95
36548,5,10.8
36548,6,10.95
36548,7,11.1
36548,8,10.95
36548,9,10.8
36548,10,10.7
36548,11,10.6
36548,12,10.9
36548,13,11.2
36548,14,12.2
36548,15,13.2
36548,16,13.35
36548,17,13.5
36548,18,13.95
36548,19,14.4
36548,20,14.85
36548,21,15.3
36548,22,15.25
36548,23,15.2
36548,24,15.65
36548,25,16.1
36548,26,16
36548,27,15.9
36548,28,15.95
36548,29,16
36548,30,16.2
36548,31,16.4
36548,32,16.4
36548,33,16.4
36548,34,15.95
36548,35,15.5
36548,36,15.25
36548,37,15
36548,38,14.65
36548,39,14.3
36548,40,14
36548,41,13.7
36548,42,13.3
36548,43,12.9
36548,44,12.4
36548,45,11.9
36548,46,12.15
36548,47,12.4
36548,48,11.95
36549,1,11.5
36549,2,11.7
36549,3,11.9
36549,4,10.85
36549,5,9.8
36549,6,9.6
36549,7,9.4
36549,8,9.8
36549,9,10.2
36549,10,9.9
36549,11,9.6
36549,12,10.65
36549,13,11.7
36549,14,12.65
36549,15,13.6
36549,16,14.25
36549,17,14.9
36549,18,15.7
36549,19,16.5
36549,20,16.85
36549,21,17.2
36549,22,18.05
36549,23,18.9
36549,24,19.05
36549,25,19.2
36549,26,18.55
36549,27,17.9
36549,28,17.95
36549,29,18
36549,30,18.1
36549,31,18.2
36549,32,19.45
36549,33,20.7
36549,34,20.35
36549,35,20
36549,36,19.4
36549,37,18.8
36549,38,18.05
36549,39,17.3
36549,40,16.9
36549,41,16.5
36549,42,16.3
36549,43,16.1
36549,44,15.95
36549,45,15.8
36549,46,15.65
36549,47,15.5
36549,48,15.45
36550,1,15.4
36550,2,15.4
36550,3,15.4
36550,4,15.3
36550,5,15.2
36550,6,15.1
36550,7,15
36550,8,14.95
36550,9,14.9
36550,10,14.6
36550,11,14.3
36550,12,14.3
36550,13,14.3
36550,14,14.15
36550,15,14
36550,16,14.35
36550,17,14.7
36550,18,14.9
36550,19,15.1
36550,20,16
36550,21,16.9
36550,22,17.2
36550,23,17.5
36550,24,17.4
36550,25,17.3
36550,26,17.6
36550,27,17.9
36550,28,18.05
36550,29,18.2
36550,30,18.5
36550,31,18.8
36550,32,18.4
36550,33,18
36550,34,18.15
36550,35,18.3
36550,36,18.3
36550,37,18.3
36550,38,18
36550,39,17.7
36550,40,17.6
36550,41,17.5
36550,42,17.4
36550,43,17.3
36550,44,17.2
36550,45,17.1
36550,46,16.95
36550,47,16.8
36550,48,16.85
36551,1,16.9
36551,2,15.9
36551,3,14.9
36551,4,14.95
36551,5,15
36551,6,14.95
36551,7,14.9
36551,8,15.05
36551,9,15.2
36551,10,15.3
36551,11,15.4
36551,12,15.55
36551,13,15.7
36551,14,16.2
36551,15,16.7
36551,16,17.55
36551,17,18.4
36551,18,19
36551,19,19.6
36551,20,19.4
36551,21,19.2
36551,22,18.5
36551,23,17.8
36551,24,18.3
36551,25,18.8
36551,26,18.35
36551,27,17.9
36551,28,17.7
36551,29,17.5
36551,30,17.4
36551,31,17.3
36551,32,17.2
36551,33,17.1
36551,34,16.95
36551,35,16.8
36551,36,16.75
36551,37,16.7
36551,38,16.6
36551,39,16.5
36551,40,16.4
36551,41,16.3
36551,42,16.25
36551,43,16.2
36551,44,16.25
36551,45,16.3
36551,46,16.2
36551,47,16.1
36551,48,16.15
36552,1,16.2
36552,2,16.1
36552,3,16
36552,4,15.95
36552,5,15.9
36552,6,15.95
36552,7,16
36552,8,15.9
36552,9,15.8
36552,10,15.9
36552,11,16
36552,12,15.9
36552,13,15.8
36552,14,15.95
36552,15,16.1
36552,16,16.35
36552,17,16.6
36552,18,17.15
36552,19,17.7
36552,20,17.5
36552,21,17.3
36552,22,17.85
36552,23,18.4
36552,24,18.55
36552,25,18.7
36552,26,19.15
36552,27,19.6
36552,28,19.55
36552,29,19.5
36552,30,19.8
36552,31,20.1
36552,32,19.95
36552,33,19.8
36552,34,19.45
36552,35,19.1
36552,36,18.4
36552,37,17.7
36552,38,17.3
36552,39,16.9
36552,40,16.55
36552,41,16.2
36552,42,16.1
36552,43,16
36552,44,15.9
36552,45,15.8
36552,46,15.75
36552,47,15.7
36552,48,15.65
36553,1,15.6
36553,2,15.6
36553,3,15.6
36553,4,15.5
36553,5,15.4
36553,6,15.35
36553,7,15.3
36553,8,15.2
36553,9,15.1
36553,10,15.15
36553,11,15.2
36553,12,15.25
36553,13,15.3
36553,14,15.4
36553,15,15.5
36553,16,15.65
36553,17,15.8
36553,18,16.2
36553,19,16.6
36553,20,16.55
36553,21,16.5
36553,22,16.55
36553,23,16.6
36553,24,16.8
36553,25,17
36553,26,16.85
36553,27,16.7
36553,28,17
36553,29,17.3
36553,30,17.05
36553,31,16.8
36553,32,16.7
36553,33,16.6
36553,34,16.6
36553,35,16.6
36553,36,16.5
36553,37,16.4
36553,38,16.45
36553,39,16.5
36553,40,16.25
36553,41,16
36553,42,16.05
36553,43,16.1
36553,44,16.1
36553,45,16.1
36553,46,15.75
36553,47,15.4
36553,48,14.75
36554,1,14.1
36554,2,14.1
36554,3,14.1
36554,4,14.1
36554,5,14.1
36554,6,14.7
36554,7,15.3
36554,8,15.1
36554,9,14.9
36554,10,14.8
36554,11,14.7
36554,12,14.85
36554,13,15
36554,14,15.35
36554,15,15.7
36554,16,15.9
36554,17,16.1
36554,18,16.15
36554,19,16.2
36554,20,16.05
36554,21,15.9
36554,22,15.9
36554,23,15.9
36554,24,16
36554,25,16.1
36554,26,16.3
36554,27,16.5
36554,28,16.35
36554,29,16.2
36554,30,16.3
36554,31,16.4
36554,32,16.7
36554,33,17
36554,34,17.05
36554,35,17.1
36554,36,17
36554,37,16.9
36554,38,16.75
36554,39,16.6
36554,40,16.6
36554,41,16.6
36554,42,16.45
36554,43,16.3
36554,44,16.3
36554,45,16.3
36554,46,16.2
36554,47,16.1
36554,48,16.1
36555,1,16.1
36555,2,16.1
36555,3,16.1
36555,4,16
36555,5,15.9
36555,6,15.8
36555,7,15.7
36555,8,15.6
36555,9,15.5
36555,10,15.4
36555,11,15.3
36555,12,15.35
36555,13,15.4
36555,14,15.6
36555,15,15.8
36555,16,15.95
36555,17,16.1
36555,18,16.35
36555,19,16.6
36555,20,16.45
36555,21,16.3
36555,22,16.2
36555,23,16.1
36555,24,16.7
36555,25,17.3
36555,26,16.75
36555,27,16.2
36555,28,16.45
36555,29,16.7
36555,30,17.5
36555,31,18.3
36555,32,18.15
36555,33,18
36555,34,17.9
36555,35,17.8
36555,36,17.35
36555,37,16.9
36555,38,16.4
36555,39,15.9
36555,40,15.5
36555,41,15.1
36555,42,14.85
36555,43,14.6
36555,44,14.5
36555,45,14.4
36555,46,14.2
36555,47,14
36555,48,13.9
36556,1,13.8
36556,2,13.75
36556,3,13.7
36556,4,13.65
36556,5,13.6
36556,6,13.45
36556,7,13.3
36556,8,13.25
36556,9,13.2
36556,10,13.25
36556,11,13.3
36556,12,13.6
36556,13,13.9
36556,14,15
36556,15,16.1
36556,16,16.5
36556,17,16.9
36556,18,16.95
36556,19,17
36556,20,17.25
36556,21,17.5
36556,22,18.4
36556,23,19.3
36556,24,18.3
36556,25,17.3
36556,26,17.35
36556,27,17.4
36556,28,17.55
36556,29,17.7
36556,30,19.05
36556,31,20.4
36556,32,19.9
36556,33,19.4
36556,34,19.45
36556,35,19.5
36556,36,18.95
36556,37,18.4
36556,38,17.8
36556,39,17.2
36556,40,16.65
36556,41,16.1
36556,42,15.85
36556,43,15.6
36556,44,15.4
36556,45,15.2
36556,46,15.05
36556,47,14.9
36556,48,14.8
36557,1,14.7
36557,2,14.7
36557,3,14.7
36557,4,14.55
36557,5,14.4
36557,6,14.05
36557,7,13.7
36557,8,13.35
36557,9,13
36557,10,12.85
36557,11,12.7
36557,12,13.05
36557,13,13.4
36557,14,14.45
36557,15,15.5
36557,16,15.8
36557,17,16.1
36557,18,16.1
36557,19,16.1
36557,20,16.1
36557,21,16.1
36557,22,17.6
36557,23,19.1
36557,24,19.8
36557,25,20.5
36557,26,22.7
36557,27,24.9
36557,28,27.2
36557,29,29.5
36557,30,30.15
36557,31,30.8
36557,32,31
36557,33,31.2
36557,34,31.3
36557,35,31.4
36557,36,31
36557,37,30.6
36557,38,29.7
36557,39,28.8
36557,40,28.05
36557,41,27.3
36557,42,26.35
36557,43,25.4
36557,44,24.65
36557,45,23.9
36557,46,23.55
36557,47,23.2
36557,48,23
36558,1,22.8
36558,2,23.2
36558,3,23.6
36558,4,23.6
36558,5,23.6
36558,6,23.75
36558,7,23.9
36558,8,23.35
36558,9,22.8
36558,10,22.55
36558,11,22.3
36558,12,22.45
36558,13,22.6
36558,14,22.9
36558,15,23.2
36558,16,24.2
36558,17,25.2
36558,18,26.2
36558,19,27.2
36558,20,26.85
36558,21,26.5
36558,22,26.8
36558,23,27.1
36558,24,26.05
36558,25,25
36558,26,24.95
36558,27,24.9
36558,28,25.85
36558,29,26.8
36558,30,28.05
36558,31,29.3
36558,32,30.85
36558,33,32.4
36558,34,32.6
36558,35,32.8
36558,36,32.5
36558,37,32.2
36558,38,32.05
